,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,bentivogliocaterina,,2385065802,"2024-03-26 01:49:15",0,"Prima li pagavano per far vedere i figli, adesso. Non più forse per questo non li fanno vedere",18014571938265293,https://www.instagram.com/bentivogliocaterina/,https://www.instagram.com/p/C42vt6Io3Ys/c/18014571938265293
2,,mina_mina1216,,4340643840,"2024-03-26 05:26:51",0,❤️❤️❤️,18015163949324504,https://www.instagram.com/mina_mina1216/,https://www.instagram.com/p/C42vt6Io3Ys/c/18015163949324504
3,,rapujacinta,,23636805280,"2024-03-26 06:09:47",0,"Auguri di buon vittoria",18222523723274630,https://www.instagram.com/rapujacinta/,https://www.instagram.com/p/C42vt6Io3Ys/c/18222523723274630
4,,isaura.cardamone,,13131269912,"2024-03-26 06:25:27",0,"Auguri 🎂",17994411935347741,https://www.instagram.com/isaura.cardamone/,https://www.instagram.com/p/C42vt6Io3Ys/c/17994411935347741
5,,vlasaracina,,9028260726,"2024-03-26 07:18:36",0,"Auguri Vittoria ❤️",18016655687184314,https://www.instagram.com/vlasaracina/,https://www.instagram.com/p/C42vt6Io3Ys/c/18016655687184314
6,,manuelamolinaro,,4304985953,"2024-03-26 07:23:22",0,"❤️❤️❤️❤️buon compleanno piccola🎂🥳🥳🥳🥳😘",17873267700066246,https://www.instagram.com/manuelamolinaro/,https://www.instagram.com/p/C42vt6Io3Ys/c/17873267700066246
7,,carolinecris2318,,44976825200,"2024-03-26 08:03:58",0,Ggg,18312592963126528,https://www.instagram.com/carolinecris2318/,https://www.instagram.com/p/C42vt6Io3Ys/c/18312592963126528
8,,chiarina47,,21444760139,"2024-03-26 08:24:22",0,😍😍😍❤️❤️😘😗😗😗😚,18007509545155430,https://www.instagram.com/chiarina47/,https://www.instagram.com/p/C42vt6Io3Ys/c/18007509545155430
9,,ro.style,,2047212795,"2024-03-26 08:27:18",0,🎉🎉🎉,18051127423534654,https://www.instagram.com/ro.style/,https://www.instagram.com/p/C42vt6Io3Ys/c/18051127423534654
10,,coppola6764,,56243647706,"2024-03-26 08:53:42",0,"👏 Tantissimi Auguroni a Mamma e Figlia ❤️",18023281439027762,https://www.instagram.com/coppola6764/,https://www.instagram.com/p/C42vt6Io3Ys/c/18023281439027762
11,,patriziaciamp,,4293699175,"2024-03-26 09:20:26",0,"Tanti cari auguri Vittoria 🥰",17910615422925060,https://www.instagram.com/patriziaciamp/,https://www.instagram.com/p/C42vt6Io3Ys/c/17910615422925060
12,,maria.latino.946,,12024068237,"2024-03-26 09:35:18",0,"Auguri piccolina buon compleanno ❤️",17916408320906293,https://www.instagram.com/maria.latino.946/,https://www.instagram.com/p/C42vt6Io3Ys/c/17916408320906293
13,,annamariaubaldino,,7741011736,"2024-03-26 10:36:27",0,"Auguri tesoro ❤️❤️",17935192379816700,https://www.instagram.com/annamariaubaldino/,https://www.instagram.com/p/C42vt6Io3Ys/c/17935192379816700
14,,rossella.tortonese,,1645992445,"2024-03-26 11:54:44",0,❤️❤️❤️Auguri,18313606384183925,https://www.instagram.com/rossella.tortonese/,https://www.instagram.com/p/C42vt6Io3Ys/c/18313606384183925
15,,rosso1850,,4665568955,"2024-03-26 12:39:06",0,"Augurissimi bimba bellissima",17991003173416786,https://www.instagram.com/rosso1850/,https://www.instagram.com/p/C42vt6Io3Ys/c/17991003173416786
16,,mar_8985,,8568055807,"2024-03-26 13:03:55",0,Auguri,17959841063733262,https://www.instagram.com/mar_8985/,https://www.instagram.com/p/C42vt6Io3Ys/c/17959841063733262
17,,elenakote65,,48383907653,"2024-03-26 13:27:43",0,"Auguri dì cuore e tutto quello che vorreste per voi . Serenità e felicità",18239032276247925,https://www.instagram.com/elenakote65/,https://www.instagram.com/p/C42vt6Io3Ys/c/18239032276247925
18,,annascattaglia,,6192843663,"2024-03-26 13:46:20",0,"Tanti auguri piccola Vittoria 🥳❤️🥰",17912805098825125,https://www.instagram.com/annascattaglia/,https://www.instagram.com/p/C42vt6Io3Ys/c/17912805098825125
19,,occhinoantonella,,24833970749,"2024-03-26 14:41:57",0,"Tantissimi auguri amore ❤️",17959904678730501,https://www.instagram.com/occhinoantonella/,https://www.instagram.com/p/C42vt6Io3Ys/c/17959904678730501
20,,ciacciolla,,10335462847,"2024-03-26 14:49:17",0,Bellissime❤️,17995855499575524,https://www.instagram.com/ciacciolla/,https://www.instagram.com/p/C42vt6Io3Ys/c/17995855499575524
21,,ciacciolla,,10335462847,"2024-03-26 14:49:42",0,"Auguri alla piccola🥳🥳🥳🥳❤️",18046101871631658,https://www.instagram.com/ciacciolla/,https://www.instagram.com/p/C42vt6Io3Ys/c/18046101871631658
22,,schiavomaria79,,6052431461,"2024-03-26 15:17:12",0,"Tantissimi Auguri ❤️",17899230701971771,https://www.instagram.com/schiavomaria79/,https://www.instagram.com/p/C42vt6Io3Ys/c/17899230701971771
23,,delucavaleria_,,372126480,"2024-03-26 15:27:17",0,"Tira per vincere 300€
s0ekth SHEIN",17854662840150047,https://www.instagram.com/delucavaleria_/,https://www.instagram.com/p/C42vt6Io3Ys/c/17854662840150047
24,,maria.didomenico.503,,44120017617,"2024-03-26 16:05:30",0,"Auguri Vittoria 😘",18085951504429963,https://www.instagram.com/maria.didomenico.503/,https://www.instagram.com/p/C42vt6Io3Ys/c/18085951504429963
25,,lucagiacumbo,,38945621010,"2024-03-26 16:06:50",0,😂😂😂,18013272254334648,https://www.instagram.com/lucagiacumbo/,https://www.instagram.com/p/C42vt6Io3Ys/c/18013272254334648
