,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,trevisan.roberta,,2524703906,"2024-03-20 16:33:29",0,"Senza fedez..nn è la stessa cosa..😂",18022712675311749,https://www.instagram.com/trevisan.roberta/,https://www.instagram.com/p/C4n2gL7IHnV/c/18022712675311749
2,,angelomerigelli,,342220617,"2024-03-20 17:33:39",0,"Quando ci fidanziamo 🔥",17916571949800556,https://www.instagram.com/angelomerigelli/,https://www.instagram.com/p/C4n2gL7IHnV/c/17916571949800556
3,,an.tonia2222,,13110736671,"2024-03-20 18:39:54",0,"Ormai si è rotto l' incantesimo",18421798651023027,https://www.instagram.com/an.tonia2222/,https://www.instagram.com/p/C4n2gL7IHnV/c/18421798651023027
4,,sabrisigi,,425678507,"2024-03-20 20:21:10",0,"Brava Chiara,  sempre a testa alta! ❤🤗",18081359896443401,https://www.instagram.com/sabrisigi/,https://www.instagram.com/p/C4n2gL7IHnV/c/18081359896443401
5,,phslove717,,47767844424,"2024-03-20 21:52:19",0,💛💛💛😜,18016780057996154,https://www.instagram.com/phslove717/,https://www.instagram.com/p/C4n2gL7IHnV/c/18016780057996154
6,,_asia83maria_,,1506109618,"2024-03-20 22:02:39",0,"Chissa quanto bene le vuole Leone a quel bimbo lo vedo spesso con loro ovunque 😍",18053310694573264,https://www.instagram.com/_asia83maria_/,https://www.instagram.com/p/C4n2gL7IHnV/c/18053310694573264
7,,sara.disumma,,1450573118,"2024-03-20 23:01:42",0,Bellii❤️,18230400952255301,https://www.instagram.com/sara.disumma/,https://www.instagram.com/p/C4n2gL7IHnV/c/18230400952255301
8,,monicaiegiani,,9552155228,"2024-03-20 23:42:16",0,"Mai a fare....",18028359430809436,https://www.instagram.com/monicaiegiani/,https://www.instagram.com/p/C4n2gL7IHnV/c/18028359430809436
9,,robertinovic65,,1952990516,"2024-03-21 00:01:29",0,"Bellissimi  Che Bello Vedervi Felici ..... Nella Natura Cogliete Tutte le sensazioni , i  profumi ,  i Suoni ,  la natura è Fantastica  dopo Salite Sopra a Cespedosio  e guardate giù il Ferdy. Fantastico.  Vi Voglio Bene ......aaaaaaa Papà.",17978347286669513,https://www.instagram.com/robertinovic65/,https://www.instagram.com/p/C4n2gL7IHnV/c/17978347286669513
10,,muccitas,,27618179,"2024-03-21 03:45:20",0,"Il coniglietto!!! Le treccine!!! 😍 tutto bello! ❤",18002936975396822,https://www.instagram.com/muccitas/,https://www.instagram.com/p/C4n2gL7IHnV/c/18002936975396822
11,,annamei10,,278688804,"2024-03-21 07:15:18",0,❤,18033457903879545,https://www.instagram.com/annamei10/,https://www.instagram.com/p/C4n2gL7IHnV/c/18033457903879545
12,,caterinasgroi22,,55832772133,"2024-03-21 07:49:39",0,"La vita continua …. nel bello e nel brutto ! Com’è giusto che sia. Ciò che accade serve a far riflettere e sopratutto a non commetterpiù gli errori fatti ! Le esperienze negative , gli errori servono a far diventare persone migliori!",18044897314639440,https://www.instagram.com/caterinasgroi22/,https://www.instagram.com/p/C4n2gL7IHnV/c/18044897314639440
13,,schiarolidaniela,,2378817915,"2024-03-21 08:01:01",0,"Finalmente hai di nuovo questa splendida luce negli occhi 😍",18149063098309126,https://www.instagram.com/schiarolidaniela/,https://www.instagram.com/p/C4n2gL7IHnV/c/18149063098309126
14,,valery782018,,8304257336,"2024-03-21 08:46:32",0,"Non deve essere facile riuscire a dare serenità ai bambini e a te stessa in questo momento. Quindi, brava ❤️",17869379733039043,https://www.instagram.com/valery782018/,https://www.instagram.com/p/C4n2gL7IHnV/c/17869379733039043
15,,martytran07,,7174472192,"2024-03-21 10:14:37",0,"Ciao Chiara col profilo fake",17853817317149852,https://www.instagram.com/martytran07/,https://www.instagram.com/p/C4n2gL7IHnV/c/17853817317149852
16,,gianfry224,,49638993778,"2024-03-21 10:17:07",0,"@martytran07 🤣🤣🤣 complimenti Marty ...sei molto più intelligente.. di quello che sembri 🤣🤣🤣🤣🤣✌️✌️😝😝👊👊😝😝🤣🤣🤣🤣",17958321824729752,https://www.instagram.com/gianfry224/,https://www.instagram.com/p/C4n2gL7IHnV/c/17958321824729752
17,,martytran07,,7174472192,"2024-03-21 10:22:52",0,"Che commento del piffero ....",17859267687086722,https://www.instagram.com/martytran07/,https://www.instagram.com/p/C4n2gL7IHnV/c/17859267687086722
18,,gianfry224,,49638993778,"2024-03-21 10:23:53",0,"@martytran07 😝🤣🤣🤣 praticamente come il tuo ...Marty......🤣🤣🤣🤣✌️✌️😝🤣🤣👊👊😝🤣🤣😝😝🤣🤣",17881258539030610,https://www.instagram.com/gianfry224/,https://www.instagram.com/p/C4n2gL7IHnV/c/17881258539030610
19,,martytran07,,7174472192,"2024-03-21 10:24:52",0,"Ti ho solo salutata!! Mo capisco tante cose 🤦‍♀️",18015959582182312,https://www.instagram.com/martytran07/,https://www.instagram.com/p/C4n2gL7IHnV/c/18015959582182312
20,,gianfry224,,49638993778,"2024-03-21 10:26:14",0,"@martytran07 🤣🤣🤣 anch'io Marty .. anch'io....🤣🤣🤣 ciaoo Marty ...e pensati intelligente....Marty ...🤣🤣🤣🤣✌️✌️😝😝🤣👊👊😝🤣🤣🤣🤣🤣",18292377628089421,https://www.instagram.com/gianfry224/,https://www.instagram.com/p/C4n2gL7IHnV/c/18292377628089421
21,,martytran07,,7174472192,"2024-03-21 10:29:23",0,"Mamma mia.... Sicuramente più di te,visto il casino che hai fatto. A no,vero, è stato un errore di comunicazione!!! Mi sa che non fa x te saper comunicare...",18118579993355557,https://www.instagram.com/martytran07/,https://www.instagram.com/p/C4n2gL7IHnV/c/18118579993355557
22,,gianfry224,,49638993778,"2024-03-21 10:32:24",0,"@martytran07 🤣🤣🤣🤣 noooo....fa x te ....la nuova grande influencer....de noantri....Marty ....🤣🤣🤣🤣🤣✌️✌️😝😝🤣🤣🤣🤣😝👊👊😝🤣🤣🤣",18026693701975541,https://www.instagram.com/gianfry224/,https://www.instagram.com/p/C4n2gL7IHnV/c/18026693701975541
23,,mariantoniettaspanu,,4158772451,"2024-03-21 19:54:17",0,❤️❤️❤️❤️❤️❤️,17939498303801777,https://www.instagram.com/mariantoniettaspanu/,https://www.instagram.com/p/C4n2gL7IHnV/c/17939498303801777
24,,sm_silvia,,283529756,"2024-03-21 21:30:31",0,"Alla faccia di tutti quelli che pensavano non avesse messo foto del viso dei bambini al compleanno di Leone per chissà  quale motivo 😂.",18001273655250701,https://www.instagram.com/sm_silvia/,https://www.instagram.com/p/C4n2gL7IHnV/c/18001273655250701
25,,whitepearlangelspirit,,58346587572,"2024-03-21 21:36:45",0,"@sm_silvia Chi non è soddisfatto di sé stesso lo riversa sugli altri -> Buona guarigione.❤️‍🩹",17954070668765933,https://www.instagram.com/whitepearlangelspirit/,https://www.instagram.com/p/C4n2gL7IHnV/c/17954070668765933
26,,sm_silvia,,283529756,"2024-03-21 21:38:40",0,"@whitepearlangelspirit  si la penso come te . Infatti penso abbia fatto bene a mettere le foto come ha sempre fatto . Anche per mettere a tacere tutti i complottisti che non vedono l ora di vederla separata e impegnata in una battaglia legale per i figli .",18042050581707973,https://www.instagram.com/sm_silvia/,https://www.instagram.com/p/C4n2gL7IHnV/c/18042050581707973
27,,giorgiolunardi,,1908241639,"2024-03-21 23:50:15",0,"@_andreadanca pieno di genitori che postano foto dei figli.",18002784395402267,https://www.instagram.com/giorgiolunardi/,https://www.instagram.com/p/C4n2gL7IHnV/c/18002784395402267
28,,marylamonaca99,,54047949493,"2024-03-22 04:46:27",0,"@marziagiorgio ma dovete per forza scassare le pelotas? Ognuno si mangia ciò che vuole",18020832662291156,https://www.instagram.com/marylamonaca99/,https://www.instagram.com/p/C4n2gL7IHnV/c/18020832662291156
29,,halilmolla9,,27223491695,"2024-03-22 06:13:02",0,🔥,17870372823068076,https://www.instagram.com/halilmolla9/,https://www.instagram.com/p/C4n2gL7IHnV/c/17870372823068076
30,,halilmolla9,,27223491695,"2024-03-22 06:13:06",0,🔥,18429674416048761,https://www.instagram.com/halilmolla9/,https://www.instagram.com/p/C4n2gL7IHnV/c/18429674416048761
