,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,fomocall,,299677532,"2023-11-18 21:29:02",0,❤️❤️❤️❤️❤️,17999848157512340,https://www.instagram.com/fomocall/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17999848157512340
2,,childrensdayofficial,,60022063289,"2023-11-18 21:42:20",0,🩵🩵🩵,18001748429497108,https://www.instagram.com/childrensdayofficial/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18001748429497108
3,,veronicaligato96,,1387654245,"2023-11-18 21:49:37",0,❤️❤️❤️❤️,17861301117011623,https://www.instagram.com/veronicaligato96/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17861301117011623
4,,sacconifrancesca,,2685209230,"2023-11-18 21:55:58",0,😂😂😂😂,18000054398071714,https://www.instagram.com/sacconifrancesca/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18000054398071714
5,,ele_cardo22,,8060597621,"2023-11-18 22:09:03",0,"Oh dio, mi piace la 7 foto 😍",18017621017897611,https://www.instagram.com/ele_cardo22/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18017621017897611
6,,angela_degiosa,,23331808517,"2023-11-18 22:12:54",0,❤️,18024510292804764,https://www.instagram.com/angela_degiosa/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18024510292804764
7,,rita_cimberio,,57631839580,"2023-11-18 22:14:05",0,"@monicaloddo70 concordo",18000155876214232,https://www.instagram.com/rita_cimberio/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18000155876214232
8,,comandeandrea,,9771371981,"2023-11-18 22:30:59",0,😍😍,17957257439573452,https://www.instagram.com/comandeandrea/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17957257439573452
9,,maria_rosa_2023,,53163684883,"2023-11-19 15:09:58",0,"@gio_llosai quanto siete maleducati ma nessuno vi ha insegnato l'educazione?",17988176198287884,https://www.instagram.com/maria_rosa_2023/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17988176198287884
10,,gio_llosai,,51745605566,"2023-11-19 15:54:34",0,"@maria_rosa_2023 a me assolutamente, a voi che vi divertite a criticare le persone evidentemente no 👎👎👎👎👎👎👎👎👎",18003372734496532,https://www.instagram.com/gio_llosai/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18003372734496532
11,,cerenerdirik,,180159237,"2023-11-19 16:12:04",0,"Helal kız sana",17989091192257241,https://www.instagram.com/cerenerdirik/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17989091192257241
12,,annamasiyd,,3250972096,"2023-11-19 16:38:55",0,"@martinadstefano come siete tristi!!!",18018325798918339,https://www.instagram.com/annamasiyd/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18018325798918339
13,,miguelaldana40,,27404798165,"2023-11-19 17:30:28",0,"My God !!!!❤️❤️❤️",18008507969086550,https://www.instagram.com/miguelaldana40/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18008507969086550
14,,fradeg1,,61244624416,"2023-11-19 17:42:05",0,"@marisa_serrani71 l'italiano questo sconosciuto 😢",17998292732510572,https://www.instagram.com/fradeg1/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17998292732510572
15,,fradeg1,,61244624416,"2023-11-19 17:42:49",0,"@ziamaalee tutti mangiamo 😂",18048038881481657,https://www.instagram.com/fradeg1/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18048038881481657
16,,emyenjoythelife,,513234221,"2023-11-19 17:43:06",0,"Magnifico il rossetto della foto n.7!",17947910786713881,https://www.instagram.com/emyenjoythelife/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17947910786713881
17,,fradeg1,,61244624416,"2023-11-19 17:43:34",0,"@maria_courmayeur è di bocca buona. Lei mangia quello che non mangia la mamma 😂",17988682247404772,https://www.instagram.com/fradeg1/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17988682247404772
18,,mirkosebert,,52215060732,"2023-11-19 17:50:29",0,"@marisa_serrani71 tutta l'ignoranza del mondo in un solo commento",17978502620410255,https://www.instagram.com/mirkosebert/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17978502620410255
19,,teranga07,,48860327612,"2023-11-19 18:13:55",0,"@martinadstefano ma va a fanculo",17994955241346630,https://www.instagram.com/teranga07/,https://www.instagram.com/p/Czx_xjuoT7Y/c/17994955241346630
20,,naty_mist86,,39655447435,"2023-11-19 18:32:02",0,"@caterinachilla alla sua età c4g4v4 il c4xx0!",18017399170906270,https://www.instagram.com/naty_mist86/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18017399170906270
21,,maristellamattiello,,1517875906,"2023-11-19 18:33:46",0,"@paolacasanova7 👏👏👏👏",18384128563066338,https://www.instagram.com/maristellamattiello/,https://www.instagram.com/p/Czx_xjuoT7Y/c/18384128563066338
